name,parameters,example,description,notes,version,scope
remove_decision,allows to remove specified decision without running remove_effect.,remove_decision = ger_mepo,removes a decision.,,1.6,country
swap_ruler_traits,similar to swap_ideas. removes one trait and adds another.,swap_ruler_traits = { remove = <trait> add = <trait> },swaps traits.,,1.6,country
remove_exile_tag,"remove the exile tag on a army leader, making them no longer be considered exile leaders.","remove_exile_tag = { usa = ""arturo rawson"" }",removes a leaders exile tag.,,1.6,unit leader
add_legitimacy,adds legitimacy to a government in exile.,add_legitimacy = 10,adds legitimacy.,,1.6,country
set_legitimacy,sets the legitimacy of governments in exile.,set_legitimacy= { pol = 1.0 },sets legitimacy.,,1.6,country
become_exiled_in,"makes a country a government in exile in a set country, with a set starting legitimacy.",become_exiled_in = { target = <host tag> legitimacy = <0-1> starting legitimacy },creates a government in exile.,"must be fired from root, the country that should be exiled, or a tag specification must be used.",1.6,country
end_exile,ends a government in exile.,end_exile,ends a government in exile.,,1.6,country
add_province_modifier,adds a province modifier.,add_province_modifier = { 5246 = mud },adds a province modifier.,"new modifiers can be created in the ""weather.txt"" file.",1.6,state
remove_province_modifier,removes a province modifier.,remove_province_modifier = { 5246 = mud },removes a province modifier.,"new modifiers can be created in the ""weather.txt"" file.",1.6,state
set_faction_name,sets a faction name as the loc name.,set_faction_name = some_loc_key,changes faction names.,,1.6,state
add_nuclear_bombs,adds nuclear bomb to tag's stockpile.,add_nuclear_bombs = 100,adds specified number of nukes to the country's stockpile,needs the nuke tech to use.,1.6,country
launch_nuke,nukes a province.,launch_nuke = {??? province = 42 ??? state = 42??? controller = ger ??? use_nuke = yes },"nukes a province. when using state it nukes a random province in said state, with a preference to enemy occupied provinces.",requires nuke tech and nukes. removes a nuke from stockpile when used.,1.6,state
inherit_technology,transfers all of a nations techs to a specified tag.,inherit_technology = can,transfers tech.,useful in civil wars and when countries split. the scoped country inherits the techs from the targeted tag so be careful with the scope.,1.6,country
set_fuel_ratio,set country's current fuel ratio relative to its capacity.,set_fuel_ratio,sets country's current fuel ratio.,,1.6,country
add_mines,add mines to a strategic region for the current country.,add_mines = { region = 42 amount = 100 },add mines to a strategic region.,,1.6,country
give_resource_rights,gives resource rights,give_resource_rights = { receiver = eng state = 291 },gives all the resources of a state to the target country,see 04_mtg_on_actions,1.6,country
remove_resource_rights,removes resource rights,eng = { remove_resource_rights = 477 },removes given resource rights,,1.6,country
