name,effect,example,modifier_type,usage
operative_slot,Spy vacancy,operative_slot = 5,,
intel_network_gain_factor,Intelligence network growth,intel_network_gain_factor = 0.5,,
resistance_target,Target of resistance,resistance_target = -0.1,,
compliance_gain,Daily compliance growth,compliance_gain = 0.3,,
intelligence_agency_defense,Antispyware defense,intelligence_agency_defense = 1,,
intel_from_operatives_factor,Intelligence bonus from spies,intel_from_operatives_factor = 0.2,,
own_operative_detection_chance_factor,Probability of our agents being found,own_operative_detection_chance_factor = -0.7,,
root_out_resistance_effectiveness_factor,Unknown,root_out_resistance_effectiveness_factor = 0.1,,
legitimacy_gain_factor,that applies to legitimacy change as a factor,legitimacy_gain_factor = 0.1,,Used mostly for governments in exile.
navy_leader_start_level,"changes starting level of leaders, similar to army leaders",navy_leader_start_level = 1,level based,
navy_leader_start_attack_level,"changes starting level of leaders attack wise, similar to army leaders",navy_leader_start_attack_level = 1,level based,
navy_leader_start_defense_level,"changes starting level of leaders defense wise, similar to army leaders",navy_leader_start_defense_level = 1,level based,
navy_leader_start_maneuvering_level,changes starting level of admirals maneuvering wise,navy_leader_start_maneuvering_level = 1,level based,
navy_leader_start_coordination_level,changes starting level of admirals coordination wise,navy_leader_start_coordination_level = 1,level based,
intel_network_gain,modifies how much intel is gained,intel_network_gain = 0.1,percentage based,
operative_slot,Increases the max number of operatives by the given value.,operative_slot = 1,,
resistance_damage_to_garrison,Reduces/increases damage to the garrisons of the current scope.,resistance_damage_to_garrison = -0.1,Percentual (0.10 being 10%),
legitimacy_daily,Increase country legitimacy per day.,legitimacy_daily = 0.1,Flat Gain,Used mostly for governments in exile.
targeted_legitimacy_daily,Same as legitimacy_daily but with a scope for TAG.,targeted_legitimacy_daily = { USA = 0.1 },Flat Gain,Used mostly for governments in exile.
training_time_air_factor,Reduces/increases air training time,training_time_air_factor= 0.10,Percentual (0.10 being 10%),Used for efficiency or similar effects in the airforce.
master_ideology_drift,Change in the puppets ideology per day. Will drift in the masters current ruling ideology.,master_ideology_drift = 0.1,Flat gain.,Does not require TfV.
license_infantry_eq_tech_difference_speed_factor,Increase in tech research speed if you are licensing that equipment.,license_infantry_eq_tech_difference_speed_factor= 0.10,Percentual (0.10 being 10%),Requires TfV or DoD
license_artillery_eq_tech_difference_speed_factor,Increase in tech research speed if you are licensing that equipment.,license_artillery_eq_tech_difference_speed_factor= 0.10,Percentual (0.10 being 10%),Requires TfV or DoD
license_light_tank_eq_tech_difference_speed_factor,Increase in tech research speed if you are licensing that equipment.,license_light_tank_eq_tech_difference_speed_factor= 0.10,Percentual (0.10 being 10%),Requires TfV or DoD
license_anti_tank_eq_tech_difference_speed_factor,Increase in tech research speed if you are licensing that equipment.,license_anti_tank_eq_tech_difference_speed_factor= 0.10,Percentual (0.10 being 10%),Requires TfV or DoD
license_infantry_eq_production_speed_factor,Change in output of the specific equipment if you are licensing that equipment.,license_infantry_eq_production_speed_factor= 0.10,Percentual (0.10 being 10%),Requires TfV or DoD
license_artillery_eq_production_speed_factor,Change in output of the specific equipment if you are licensing that equipment.,license_artillery_eq_production_speed_factor= 0.10,Percentual (0.10 being 10%),Requires TfV or DoD
