name,parameters,examples,description,notes,version,scope
always,!boolean,always = yes,always returns true or false. useful for debugging.,,1,any
AND,#trigger,and = {     original_tag = ger     has_stability > 0.5 },"returns false if any sub-trigger returns false, true otherwise. evaluation stops at the first false sub-trigger. ",virtually all places that expect a trigger use an implicit and-trigger.,1,any
OR,#trigger, or = {     original_tag = eng     original_tag = usa },"returns true if any sub-trigger returns true, false otherwise. evaluation stops at the first true sub-trigger. ",,1,any
NOT,#trigger,not = {     has_stability > 0.5     has_war_support > 0.5 },"returns false if any sub-trigger returns true, true otherwise. evaluation stops at the first true sub-trigger. ",,1,any
count_triggers,!amount.int #trigger,count_triggers = {     amount = 2     10 = { state_population = 100000 }     11 = { state_population = 100000 }     12 = { state_population = 100000 } },"sums the results of all sub-triggers (false=0, true=1) and returns true if the sum is at least amount. ",,1.5,any
if,!limit £else_if £else,"if = {     limit = {         has_dlc = ""poland: united and ready""     }     has_political_power > 100     else = {         has_war_support > 0.5     } } ","if limit is true, the sub-triggers are evaluated like an and-trigger. if limit is false, else_if blocks are tried in sequence and finally else (if present). otherwise true is returned. ","else_if and else can also follow directly after the if trigger, instead of being nested. ",1,any
hidden_trigger,#trigger,hidden_trigger = {     country_exists = ger },"like and-trigger, but the condition is not shown in tooltips. ",,,any
custom_trigger_tooltip,tooltip = <string>triggers,"custom_trigger_tooltip = {     tooltip = sunrise_invasion_tt		     any_state = {         is_owned_by = jap         is_on_continent = europe         is_coastal = yes     } } ","like and-trigger, but tooltips show tooltip. ",,,any
has_global_flag,!string,has_global_flag = my_flag,checks if the specified flag has been set.,,1,any
has_global_flag,!string £%value.int £%date.date £%days.int,has_global_flag = {     flag = my_flag     days > 30     date > 1936.6.1     value > 0 } ,"compares the specified flag's last set date, days since last set, and/or value. ","if not set, the value comparison is >0. value is limited between -32768 and 32767. ",1,any
has_dlc, !string.dlc_name,"has_dlc = ""waking the tiger"" ",checks if the specified dlc is enabled.,,1,any
has_start_date,!%date,has_start_date > 1950.01.01,checks if the specified date was the start date used for the current game.,must use either > or < operators.,1,any
date,!%date,date < 1950.01.01,checks if the specified date against the current date.,must use either > or < operators.,1,any
difficulty,!%int,difficulty > 0,checks if the specified difficulty against the current difficulty.,must use either > or < operators.,1,any
has_any_custom_difficulty_setting,!bool,has_any_custom_difficulty_setting = yes,checks if any country has a custom difficulty setting active.,,1,any
has_custom_difficulty_setting,!string,has_custom_difficulty_setting = custom_diff_strong_sov,,,1,any
game_rules_allow_achievements,!boolean,game_rules_allow_achievements = yes,checks if all of the active game rule options allow achievements.,,1.9,any
country_exists,!scope/variable,country_exists = ger,checks if the specified country currently exists in game.,,1,any
is_ironman,!boolean,is_ironman = yes,checks if the current game is running in ironman mode.,,1,any
is_historical_focus_on,!boolean,is_historical_focus_on = yes,checks if the current game is running with historical focuses on.,,1,any
is_tutorial,!boolean,is_tutorial = yes,checks if the current game is running in tutorial mode.,,1,any
is_debug,!boolean,is_debug = yes,checks if game is in debug mode (launched with -debug argument).,,1.9,any
threat,!%float,threat > 0.5,checks if world tension is above the specified amount.,must use either > or < operators.,1,any
has_game_rule,!string.rule  !string/bool.option,has_game_rule = { rule = ger_can_remilitarize_rhineland option = yes },checks if a game rule is set to a particular option.,,1.5,any
exists,!boolean,exists = yes,checks if the current scope exists in game.,,1,country
tag,!scope/variable,tag = ger tag = var:my_country,checks if the current scope is the specified country.,,1,country
original_tag,!scope/variable,original_tag = ger original_tag = var:my_country,checks if the current scope was ever the specified country.,,1,country
is_ai,!boolean,is_ai = yes,checks if the current scope is ai.,,1,country
has_country_flag,!string,has_country_flag = my_flag,checks if the current scope has the specified flag.,,1,country
has_country_flag,!flag.flag £%int.value £%date.date £%int.days = <int>the duration the flag existed for. optional. ,has_country_flag = {     flag = my_flag     days > 30     date > 1936.6.1     value > 0 } ,"compares the specified flag's last set date, days since last set, and/or value. ","if not set, the value comparison is >0. value is limited between -32768 and 32767. ",1,country
has_cosmetic_tag,!string,has_cosmetic_tag = sov_custom,checks if the current scope has the specified cosmetic tag active.,,1.5,country
has_decision,!string,has_decision = my_decision,checks if the current scope has the specified decision activated.,,1.5,country
has_dynamic_modifier,!string.modifier !scope.country, if the original modifier has been targeted,has_dynamic_modifier = {     modifier = my_dynamic_modifier     scope = ger } ,checks if the current scope has the specified dynamic modifier activated.,,1.6,country
has_active_mission,!string,has_active_mission = my_mission,checks if the current scope has the specified mission active.,,1.5,country
has_focus_tree,!string,has_focus_tree = soviet_tree,checks if the current scope has the specified focus tree.,,1.3,country
has_completed_focus,!string,has_completed_focus = my_focus,checks if the current scope has the specified focus completed.,,1,country
focus_progress,!string.focus !%string.progress,focus_progress = {     focus = my_focus     progress > 0.5 } ,checks if the specified focus has been completed the specified percent for the current scope.,must use either > or < operators for progress.,1,country
has_political_power,!%float,has_political_power > 100,checks if the current scope has the specified amount of political power.,must use either > or < operators.,1,country
political_power_daily,!%float,political_power_daily > 1,checks if the current scope has the specified amount of daily political power gain.,must use either > or < operators.,1.5,country
political_power_growth,!%float,political_power_growth > 1,checks if the current scope has the specified amount of daily political power gain.,must use either > or < operators.,1.5,country
command_power,!%float/variable,command_power > 1,checks if the current scope has the specified amount of command power.,must use either > or < operators.,1.5,country
command_power_daily,!%float/variable,command_power_daily > 1,checks if the current scope has the specified amount of daily command power gain.,must use either > or < operators.,1.5,country
has_war_support,!%float/variable,has_war_support > 0.5,checks if the current scope has the specified percentage of war support.,must use either > or < operators.,1.5,country
has_stability,!%float/variable,has_stability > 0.5,checks if the current scope has the specified percentage of stability.,must use either > or < operators.,1.5,country
$ideology,!float,fascism > 0.5,checks if the current scope has the specified ideology above the specified amount.,,1,country
has_government,!string,has_government = fascism,checks if the current scope ruling party is the specified ideology.,,1,country
has_elections,!boolean,has_elections = yes,checks if the current scope holds elections.,,1,country
is_staging_coup,!boolean,is_staging_coup = yes,checks if the current scope is staging a coup.,,1.3,country
is_target_of_coup,!boolean,is_target_of_coup = yes,checks if the current scope is the target of a coup.,,1,country
has_civil_war,!boolean,has_civil_war = yes,checks if the current scope has a civil war active.,,1,country
civilwar_target,!scope,civilwar_target = ger,checks if the specified country is a target of a civil war.,,1,country
has_manpower_for_recruit_change_to,!%float.value !group.group,has_manpower_for_recruit_change_to = {     value > 0.05     group = mobilization_laws },checks if the current scope has the specified amount of manpower for changing the specified idea group.,must use either > or < operators as = operator checks for the exact value,1,country
has_country_leader,!int.id £string.name £boolean.ruling_only,"has_country_leader = {     id = 10 }  has_country_leader = {     name = ""john smith""     ruling_only = yes }  ",checks if the current scope has the specified country leader.,,1.3,country
has_rule,!string, has_rule = {     can_create_factions } ,checks if the current scope has the specified country rule.,,1.6,country
<building>,!%int,arms_factory > 10,checks if the current scope has the specified amount of the specified building.,must use either > or < operators.,1,country
num_of_military_factories,!%int,num_of_military_factories > 10,checks if the current scope has the specified amount of military factories.,must use either > or < operators.,1,country
num_of_civilian_factories,!%int,num_of_civilian_factories > 10,checks if the current scope has the specified amount of civilian factories.,must use either > or < operators.,1,country
